surveyID,samplingPerformedByID,verbatimSiteNames,verbatimSiteDescription,reportedWeather,isSamplingEffortReported,hasMaterialSamples,eventID,verbatimTargetScope,protocolNames,protocolDescriptions,protocolReferences,isAbundanceReported,materialSampleTypes
P24.1B,P24,DOFAtlasIIIQuadrantID: 3440,land cover: forest | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P24.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P228.2A,P228,DOFAtlasIIIQuadrantID: 3450,"land cover: dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P228.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P228.2B,P228,DOFAtlasIIIQuadrantID: 3450,"land cover: dry | subland cover: moor, pasture",Wind: Moderate breeze 5.5-7.9 | Temperature: 25+,True,True,P228.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P24.2A,P24,DOFAtlasIIIQuadrantID: 3450,"land cover: dry | subland cover: moor, pasture",Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P24.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P24.2B,P24,DOFAtlasIIIQuadrantID: 3450,"land cover: dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P24.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P25.1A,P25,DOFAtlasIIIQuadrantID: 4790,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P25.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P25.1B,P25,DOFAtlasIIIQuadrantID: 4790,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P25.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P279.1A,P279,DOFAtlasIIIQuadrantID: 4790,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture",Wind: Light Breeze 1.6-3.3 | Temperature: 15-19,True,True,P279.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P279.1B,P279,DOFAtlasIIIQuadrantID: 4790,"land cover: agriculture | subland cover: intensive agriculture, semi-intensive agriculture",Wind: Light Breeze 1.6-3.3 | Temperature: 20-24,True,True,P279.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P25.2A,P25,DOFAtlasIIIQuadrantID: 4781,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P25.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P25.2B,P25,DOFAtlasIIIQuadrantID: 4781,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P25.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P279.2A,P279,DOFAtlasIIIQuadrantID: 4781,land cover: forest | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 25+,True,True,P279.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P279.2B,P279,DOFAtlasIIIQuadrantID: 4781,land cover: forest | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 25+,True,True,P279.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P26.1A,P26,DOFAtlasIIIQuadrantID: 6689,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P26.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P26.1B,P26,DOFAtlasIIIQuadrantID: 6689,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P26.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P311.1A,P311,DOFAtlasIIIQuadrantID: 6689,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P311.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P311.1B,P311,DOFAtlasIIIQuadrantID: 6689,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P311.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P26.2A,P26,DOFAtlasIIIQuadrantID: 6580,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P26.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P26.2B,P26,DOFAtlasIIIQuadrantID: 6580,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P26.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P311.2A,P311,DOFAtlasIIIQuadrantID: 6580,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P311.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P311.2B,P311,DOFAtlasIIIQuadrantID: 6580,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P311.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P214.1A,P214,DOFAtlasIIIQuadrantID: 4451,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 15-19,True,True,P214.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P214.1B,P214,DOFAtlasIIIQuadrantID: 4451,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P214.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P27.1A,P27,DOFAtlasIIIQuadrantID: 4451,land cover: agriculture | subland cover: intensive agriculture,Wind: Moderate breeze 5.5-7.9 | Temperature: 20-25,True,True,P27.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P27.1B,P27,DOFAtlasIIIQuadrantID: 4451,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P27.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P214.2A,P214,DOFAtlasIIIQuadrantID: 4461,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 15-19,True,True,P214.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P214.2B,P214,DOFAtlasIIIQuadrantID: 4461,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P214.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P27.2A,P27,DOFAtlasIIIQuadrantID: 4461,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Moderate breeze 5.5-7.9 | Temperature: 20-25,True,True,P27.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P27.2B,P27,DOFAtlasIIIQuadrantID: 4461,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P27.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P28.1A,P28,DOFAtlasIIIQuadrantID: 2615,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P28.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P28.1B,P28,DOFAtlasIIIQuadrantID: 2615,land cover: agriculture | subland cover: intensive agriculture,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P28.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P28.2A,P28,DOFAtlasIIIQuadrantID: 2604,land cover: wet | subland cover: lake,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P28.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P28.2B,P28,DOFAtlasIIIQuadrantID: 2604,land cover: wet | subland cover: lake,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P28.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P236.1A,P236,DOFAtlasIIIQuadrantID: 2536,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 15-19,True,True,P236.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P236.1B,P236,DOFAtlasIIIQuadrantID: 2536,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 15-19,True,True,P236.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P29.1A,P29,DOFAtlasIIIQuadrantID: 2536,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P29.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P29.1B,P29,DOFAtlasIIIQuadrantID: 2536,land cover: forest | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P29.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P236.2A,P236,DOFAtlasIIIQuadrantID: 2527,land cover: dry | subland cover: moor,Wind: Gentle breeze 3.4-5.5 | Temperature: 15-19,True,True,P236.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P236.2B,P236,DOFAtlasIIIQuadrantID: 2527,land cover: dry | subland cover: moor,Wind: Light Breeze 1.6-3.3 | Temperature: 20-24,True,True,P236.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P29.2A,P29,DOFAtlasIIIQuadrantID: 2527,land cover: dry | subland cover: moor,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P29.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P29.2B,P29,DOFAtlasIIIQuadrantID: 2527,land cover: dry | subland cover: moor,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P29.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P275.1A,P275,DOFAtlasIIIQuadrantID: 4795,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25+,True,True,P275.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P275.1B,P275,DOFAtlasIIIQuadrantID: 4795,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 25+,True,True,P275.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P30.1A,P30,DOFAtlasIIIQuadrantID: 4795,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P30.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P30.1B,P30,DOFAtlasIIIQuadrantID: 4795,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P30.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P275.2A,P275,DOFAtlasIIIQuadrantID: 5704,"land cover: wet | subland cover: marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P275.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P275.2B,P275,DOFAtlasIIIQuadrantID: 5704,"land cover: wet | subland cover: marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 25+,True,True,P275.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P30.2A,P30,DOFAtlasIIIQuadrantID: 5704,"land cover: wet | subland cover: marsh, lake",Wind: Light Breeze 1.6-3.3 | Temperature: 20-25,True,True,P30.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P30.2B,P30,DOFAtlasIIIQuadrantID: 5704,"land cover: wet | subland cover: marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 15-20,True,True,P30.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P31.1A,P31,DOFAtlasIIIQuadrantID: 6628,land cover: urban | subland cover: NA,Wind: Gentle breeze 3.4-5.5 | Temperature: 20-25,True,True,P31.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P31.1B,P31,DOFAtlasIIIQuadrantID: 6628,land cover: urban | subland cover: NA,Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P31.1B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P31.2A,P31,DOFAtlasIIIQuadrantID: 6629,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Gentle breeze 3.4-5.5 | Temperature: 25-30,True,True,P31.2A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P31.2B,P31,DOFAtlasIIIQuadrantID: 6629,"land cover: wet | subland cover: meadow, marsh, lake",Wind: Light Breeze 1.6-3.3 | Temperature: 25-30,True,True,P31.2B,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
P234.1A,P234,DOFAtlasIIIQuadrantID: 2557,"land cover: dry | subland cover: moor, pasture",Wind: Gentle breeze 3.4-5.5 | Temperature: 20-24,True,True,P234.1A,flying insects,car net,Volunteers drove back and forth with a insect net mounted on the rooftop of their car on predefined 5 km routes. They sampled insects during midday and early evening on a day of their choosing within the month of June. The full sampling protocl is shared in protocolReferences,Insectmobile sampling protocol: https://gbif.box.com/s/xw9heja35filgxu1l5pny772ta9nik4g,False,PreservedOrganisms | MolecularDerivates
